,ticker,twin,name,exch,cat,country
28946,SVOL-A.ST,,Svolder AB,STO,Asset Management,Sweden
28084,SSAB-B.ST,,SSAB AB,STO,Steel & Iron,Sweden
28085,SSAB-A.ST,,SSAB AB,STO,Steel & Iron,Sweden
28086,SSAAY,,SSAB AB,PNK,,USA
28475,SSABBH.HE,,SSAB AB,HEL,,Finland
28477,SSAAF,,SSAB AB,PNK,,USA
28497,0MHZ.L,,SSAB AB,LSE,,United Kingdom
28690,0KII.L,,SSAB AB,LSE,,United Kingdom
29110,SSABAH.HE,,SSAB AB,HEL,,Finland
97596,SKWA.F,,SSAB AB,FRA,,France
98294,SSABA.ST,,SSAB AB,STO,,Sweden
28087,SOF-B.ST,,Softronic AB,STO,Business Services,Sweden
96427,SF7.F,,Softronic AB,FRA,,France
1328,SKFRY,,SKF AB,PNK,,USA
28027,SKUFF,,SKF AB,PNK,,USA
28088,SKF-B.ST,,SKF AB,STO,Machine Tools & Accessories,Sweden
28530,SKF-A.ST,,SKF AB,STO,Machine Tools & Accessories,Sweden
28555,0NWX.L,,SKF AB,LSE,,United Kingdom
28678,0NWW.L,,SKF AB,LSE,,United Kingdom
97606,SKFB.ST,,SKF AB,STO,,Sweden
97614,SKFB.F,,SKF AB,FRA,,France
97645,SKFA.F,,SKF AB,FRA,,France
28091,SECU-B.ST,,Securitas AB,STO,Security & Protection Services,Sweden
28094,SCTBF,,Securitas AB,PNK,,USA
28319,SCTBY,,Securitas AB,PNK,,USA
28985,0IAH.L,,Securitas AB,LSE,,United Kingdom
105971,SECUB.ST,,Securitas AB,STO,,Sweden
105973,S7MB.F,,Securitas AB,FRA,Security & Protection Services,France
28093,SEAB-B.ST,,Skånska Energi AB,STO,,Sweden
28097,PRCO-B.ST,,Precio Fishbone AB (publ),STO,Technical & System Software,Sweden
28099,PEAB-B.ST,,Peab AB,STO,General Contractors,Sweden
28850,0MHT.L,,Peab AB,LSE,,United Kingdom
92876,PEKB.F,,Peab AB,FRA,,France
28110,MSC-B.ST,,MSC Group AB,STO,Business Services,Sweden
28120,LIFCO-B.ST,,Lifco AB,STO,,Sweden
28695,0R4P.L,,Lifco AB,LSE,,United Kingdom
105051,1L3.F,,Lifco AB,FRA,,France
28036,IVSXF,,Investor AB,PNK,,USA
28121,IVSBY,,Investor AB,PNK,,USA
28123,INVE-B.ST,x,Investor AB,STO,Asset Management,Sweden
28301,IVSBF,,Investor AB,PNK,,USA
28396,INVE-A.ST,x,Investor AB,STO,Asset Management,Sweden
28604,0NC6.L,,Investor AB,LSE,,United Kingdom
28666,0NC5.L,,Investor AB,LSE,,United Kingdom
79940,IVSA.F,,Investor AB,FRA,,France
79966,IVSB.F,,Investor AB,FRA,,France
105004,INVEB.ST,,Investor AB,STO,,Sweden
28140,HIFA-B.ST,,Hifab Group AB (publ),STO,General Contractors,Sweden
28143,GHUS-B.ST,,Götenehus Group AB (publ),STO,,Sweden
1390,GNGBY,,Getinge AB,PNK,,USA
28041,GNGBF,,Getinge AB,PNK,,USA
28144,GETI-B.ST,,Getinge AB,STO,Medical Instruments & Supplies,Sweden
28855,0GZV.L,,Getinge AB,LSE,,United Kingdom
71842,GTN.F,,Getinge AB,FRA,,France
71848,GETIB.ST,,Getinge AB,STO,,Sweden
28152,ELOS-B.ST,,Elos Medtech AB (publ),STO,Medical Instruments & Supplies,Sweden
28154,EKTAY,,Elekta AB (publ),PNK,,USA
28155,EKTAF,,Elekta AB (publ),PNK,,USA
28156,EKTA-B.ST,,Elekta AB (publ),STO,Medical Appliances & Equipment,Sweden
28827,0O5H.L,,Elekta AB (publ),LSE,,United Kingdom
63738,EJXB.F,,Elekta AB (publ),FRA,,France
28159,DMYD-B.ST,,Diamyd Medical AB (publ),STO,,Sweden
28162,DEFL-B.ST,,Deflamo AB,STO,Specialty Chemicals,Sweden
28164,CRAD-B.ST,,C-Rad AB,STO,Medical Laboratories & Research,Sweden
28166,CONS-B.ST,,Consilium AB (publ),STO,Scientific & Technical Instruments,Sweden
28170,CLA-B.ST,,Cloetta AB (publ),STO,Confectioners,Sweden
28599,0N7X.L,,Cloetta AB (publ),LSE,,United Kingdom
56460,0CL.F,,Cloetta AB (publ),FRA,,France
28171,CI-B.ST,,Cell Impact AB (publ),STO,,Sweden
28172,CCOR-B.ST,,Concordia Maritime AB (publ),STO,Shipping,Sweden
28178,BRG-B.ST,,Bergs Timber AB (publ),STO,"Lumber, Wood Production",Sweden
28177,BTSNF,,Betsson AB,PNK,,USA
28188,BETS-B.ST,,Betsson AB,STO,Gaming Activities,Sweden
29120,0R7X.L,,Betsson AB,LSE,,United Kingdom
44318,V72C.F,,Betsson AB,FRA,,France
28190,BAHN-B.ST,,Bahnhof AB (publ),STO,,Sweden
1837,ATLCF,,Atlas Copco AB,PNK,,USA
28050,ATLCY,,Atlas Copco AB,PNK,Credit Services,USA
28194,ATTLF,,Atlas Copco AB,PNK,,USA
28195,ATLKY,,Atlas Copco AB,PNK,,USA
28196,ATLKF,,Atlas Copco AB,PNK,,USA
28197,ATCO-B.ST,x,Atlas Copco AB,STO,Diversified Machinery,Sweden
